process,value,date,comment
Conditionnement A,89.5,2026-05-15T09:12:00Z,Sample import
Assemblage B,90.2,2026-05-14T10:00:00Z,Shift A
Controle C,92.1,2026-05-13T11:30:00Z,Check
Finition D,91.0,2026-05-12T12:00:00Z,Finish
Decoupe metal - Alerte,10.40,2026-05-15T08:00:00Z,Alert point
Conditionnement A,88.9,2026-05-10T14:20:00Z,Sample2
Assemblage B,89.7,2026-05-09T15:45:00Z,Sample3
Controle C,87.5,2026-05-08T16:00:00Z,Sample4
Decoupe metal - Alerte,10.50,2026-05-11T07:30:00Z,Out of spec
Decoupe metal - Alerte,10.20,2026-05-01T08:15:00Z,Edge
